barcode,cycle_id,current(A),voltage(V),time(s)
demo,1,4,3.955717268,750
demo,1,4,3.959227597,760
demo,1,4,3.962699157,770
demo,1,4,3.966140634,780
demo,1,4,3.969575912,790
demo,1,4,3.972978076,800
demo,1,4,3.97639324,810
demo,1,4,3.98064167,820
demo,1,4,3.984887896,830
demo,1,4,3.989129076,840
demo,1,4,3.993363971,850
demo,1,4,3.997600376,860
demo,1,3.888866028,4.000000005,870
demo,1,3.665553909,4.000006934,880
demo,1,3.48869506,3.999999137,890
demo,1,3.328141859,3.999999886,900
demo,1,3.178810953,3.999999989,910
demo,1,3.038427096,3.999999775,920
demo,1,2.905597828,3.999999967,930
demo,1,2.779163631,3.999999664,940
demo,1,2.65861341,3.99999946,950
demo,1,2.543500316,4.000000208,960
demo,1,2.433327625,3.999999769,970
demo,1,2.310608244,3.99999493,980
demo,1,2.186587407,3.999999733,990
demo,1,2.070571548,4.000000012,1000
demo,1,1.961712907,3.999999954,1010
demo,1,1.859108149,3.999999973,1020
demo,1,1.762202156,3.999999979,1030
demo,1,1.670545566,3.999999997,1040
demo,1,1.583677944,4.000000369,1050
demo,1,1.50130697,3.999999992,1060
demo,1,1.423184998,3.999999923,1070
demo,1,1.349239938,4.000001252,1080
demo,1,1.278979364,3.999999355,1090
demo,1,1.212465579,3.999998713,1100
demo,1,1.149756817,4.00000372,1110
demo,1,1.088991461,3.999993667,1120
demo,1,1.030422245,4.00000717,1130
demo,1,0.973820673,3.999996214,1140
demo,1,0.921021942,3.999997187,1150
demo,1,0.871245273,3.999999369,1160
demo,1,0.824175924,4.000000751,1170
demo,1,0.779538322,3.999999764,1180
demo,1,0.737380774,3.999999999,1190
demo,1,0.697476663,3.999999998,1200
demo,1,0.659755203,4.000000004,1210
demo,1,0.624078757,3.999999994,1220
demo,1,0.59034467,3.999999974,1230
demo,1,0.558435665,3.999999958,1240
demo,1,0.528289095,3.999999952,1250
demo,1,0.49977857,3.999999947,1260
demo,1,0.472801572,3.999999963,1270
demo,1,0.447277467,3.999999987,1280
demo,1,0.423131756,3.99999997,1290
demo,1,0.40025278,3.999999937,1300
demo,1,0.378604052,3.999999942,1310
demo,1,0.358131417,4.000000001,1320
demo,1,0.338728019,4.000000084,1330
demo,1,0.32037683,4.000000067,1340
demo,1,0.303015792,3.999999945,1350
demo,1,0.286571046,3.999999792,1360
demo,1,0.2710443,3.999999786,1370
demo,1,0.25638956,3.999999955,1380
demo,1,0.24254544,4.00000019,1390
demo,1,0.229451714,4.000000281,1400
demo,1,0.217067389,4.000000258,1410
demo,1,0.205351972,4.00000016,1420
demo,1,0.194264971,4.000000024,1430
demo,1,0.183782425,3.999999926,1440
demo,1,0.173885288,3.999999921,1450
demo,1,0.164518233,3.999999955,1460
demo,1,0.155628458,3.999999976,1470
demo,1,0.147238297,3.999999977,1480
demo,1,0.139326913,3.999999976,1490
demo,1,0.131840548,4.000000002,1500
demo,1,0.124738607,4.000000044,1510
demo,1,0.118022204,4.000000052,1520
demo,1,0.111659183,4.000000031,1530
demo,1,0.105621838,3.999999998,1540
demo,1,-2,3.96538696,1550
demo,1,-2,3.959325392,1560
demo,1,-2,3.954953582,1570
demo,1,-2,3.951316018,1580
demo,1,-2,3.948148251,1590
demo,1,-2,3.945276866,1600
demo,1,-2,3.942588377,1610
demo,1,-2,3.940012011,1620
demo,1,-2,3.93750678,1630
demo,1,-2,3.935091523,1640
demo,1,-2,3.932754097,1650
demo,1,-2,3.930433001,1660
demo,1,-2,3.928121567,1670
demo,1,-2,3.925817019,1680
demo,1,-2,3.923516592,1690
demo,1,-2,3.921218418,1700
demo,1,-2,3.918921668,1710
demo,1,-2,3.916625149,1720
demo,1,-2,3.914329306,1730
demo,1,-2,3.912033375,1740
demo,1,-2,3.909736031,1750
demo,1,-2,3.907714961,1760
demo,1,-2,3.905838056,1770
demo,1,-2,3.903960857,1780
demo,1,-2,3.902082917,1790
demo,1,-2,3.900204098,1800
demo,1,-2,3.898325017,1810
demo,1,-2,3.896445586,1820
demo,1,-2,3.894565718,1830
demo,1,-2,3.892683908,1840
demo,1,-2,3.890801271,1850
demo,1,-2,3.888918338,1860
demo,1,-2,3.887035104,1870
demo,1,-2,3.885151516,1880
demo,1,-2,3.883264418,1890
demo,1,-2,3.88123435,1900
demo,1,-2,3.879163818,1910
demo,1,-2,3.877092964,1920
demo,1,-2,3.875020342,1930
demo,1,-2,3.872943761,1940
demo,1,-2,3.870866855,1950
demo,1,-2,3.868789646,1960
demo,1,-2,3.866712135,1970
demo,1,-2,3.864629852,1980
demo,1,-2,3.862543658,1990
demo,1,-2,3.860457168,2000
demo,1,-2,3.858370385,2010
demo,1,-2,3.856283309,2020
demo,1,-2,3.854193115,2030
demo,1,-2,3.852523977,2040
demo,1,-2,3.850854552,2050
demo,1,-2,3.849184842,2060
demo,1,-2,3.847512862,2070
demo,1,-2,3.845820647,2080
demo,1,-2,3.84412815,2090
demo,1,-2,3.842435373,2100
demo,1,-2,3.840742316,2110
demo,1,-2,3.839035812,2120
demo,1,-2,3.837305538,2130
demo,1,-2,3.835574987,2140
demo,1,-2,3.833844162,2150
demo,1,-2,3.832074581,2160
demo,1,-2,3.830230858,2170
demo,1,-2,3.828364291,2180
demo,1,-2,3.826497458,2190
demo,1,-2,3.824630358,2200
demo,1,-2,3.822762994,2210
demo,1,-2,3.820808231,2220
demo,1,-2,3.818843165,2230
demo,1,-2,3.816877834,2240
demo,1,-2,3.814912241,2250
demo,1,-2,3.812922346,2260
demo,1,-2,3.810810878,2270
demo,1,-2,3.808699153,2280
demo,1,-2,3.806501264,2290
demo,1,-2,3.804073828,2300
demo,1,-2,3.801562827,2310
demo,1,-2,3.798942956,2320
demo,1,-2,3.796322828,2330
demo,1,-2,3.793702442,2340
demo,1,-2,3.791081803,2350
demo,1,-2,3.788318094,2360
demo,1,-2,3.785493723,2370
demo,1,-2,3.782669099,2380
demo,1,-2,3.779832914,2390
demo,1,-2,3.776945157,2400
demo,1,-2,3.773921266,2410
demo,1,-2,3.770893115,2420
demo,1,-2,3.767864717,2430
demo,1,-2,3.76483607,2440
demo,1,-2,3.761805739,2450
demo,1,-2,3.758770619,2460
demo,1,-2,3.755735244,2470
demo,1,-2,3.752699612,2480
demo,1,-2,3.749663727,2490
demo,1,-2,3.746692702,2500
demo,1,-2,3.743972118,2510
demo,1,-2,3.741327088,2520
demo,1,-2,3.738681805,2530
demo,1,-2,3.736036265,2540
demo,1,-2,3.733539385,2550
demo,1,-2,3.731084961,2560
demo,1,-2,3.728630283,2570
demo,1,-2,3.72617535,2580
demo,1,-2,3.723728413,2590
demo,1,-2,3.721453748,2600
demo,1,-2,3.719178825,2610
demo,1,-2,3.716903642,2620
demo,1,-2,3.714628199,2630
demo,1,-2,3.712273574,2640
demo,1,-2,3.709942602,2650
demo,1,-2,3.707611368,2660
demo,1,-2,3.705279871,2670
demo,1,-2,3.70294811,2680
demo,1,-2,3.700667244,2690
demo,1,-2,3.698422752,2700
demo,1,-2,3.696177992,2710
demo,1,-2,3.693932965,2720
demo,1,-2,3.691687669,2730
demo,1,-2,3.689486995,2740
demo,1,-2,3.687293896,2750
demo,1,-2,3.68520058,2760
demo,1,-2,3.683402303,2770
demo,1,-2,3.681607419,2780
demo,1,-2,3.679839229,2790
demo,1,-2,3.678070761,2800
demo,1,-2,3.676302013,2810
demo,1,-2,3.674532984,2820
demo,1,-2,3.672770807,2830
demo,1,-2,3.671019588,2840
demo,1,-2,3.669268083,2850
demo,1,-2,3.667516289,2860
demo,1,-2,3.665764205,2870
demo,1,-2,3.664020175,2880
demo,1,-2,3.662280211,2890
demo,1,-2,3.660539951,2900
demo,1,-2,3.658872141,2910
demo,1,-2,3.657272136,2920
demo,1,-2,3.655682213,2930
demo,1,-2,3.654092824,2940
demo,1,-2,3.652503128,2950
demo,1,-2,3.650913123,2960
demo,1,-2,3.649325187,2970
demo,1,-2,3.647746842,2980
demo,1,-2,3.64616818,2990
demo,1,-2,3.644589198,3000
demo,1,-2,3.643009894,3010
demo,1,-2,3.641437063,3020
demo,1,-2,3.639871812,3030
demo,1,-2,3.63830623,3040
demo,1,-2,3.636740314,3050
demo,1,-2,3.63517406,3060
demo,1,-2,3.633620216,3070
demo,1,-2,3.632070726,3080
demo,1,-2,3.630520888,3090
demo,1,-2,3.6289707,3100
demo,1,-2,3.627420157,3110
demo,1,-2,3.62602923,3120
demo,1,-2,3.62468256,3130
demo,1,-2,3.623335525,3140
demo,1,-2,3.621988121,3150
demo,1,-2,3.620647815,3160
demo,1,-2,3.619327562,3170
demo,1,-2,3.618006927,3180
demo,1,-2,3.616685906,3190
demo,1,-2,3.615364495,3200
demo,1,-2,3.614046838,3210
demo,1,-2,3.612732371,3220
demo,1,-2,3.611417498,3230
demo,1,-2,3.610102217,3240
demo,1,-2,3.608786521,3250
demo,1,-2,3.607472088,3260
demo,1,-2,3.606157638,3270
demo,1,-2,3.604842758,3280
demo,1,-2,3.603527441,3290
demo,1,-2,3.60221165,3300
demo,1,-2,3.600894986,3310
demo,1,-2,3.59957787,3320
demo,1,-2,3.598433752,3330
demo,1,-2,3.597379456,3340
demo,1,-2,3.596317462,3350
demo,1,-2,3.595241073,3360
demo,1,-2,3.594164199,3370
demo,1,-2,3.593086831,3380
demo,1,-2,3.592008963,3390
demo,1,-2,3.590902312,3400
demo,1,-2,3.589777088,3410
demo,1,-2,3.588651341,3420
demo,1,-2,3.587525063,3430
demo,1,-2,3.586398246,3440
demo,1,-2,3.585207723,3450
demo,1,-2,3.58400793,3460
demo,1,-2,3.582807572,3470
demo,1,-2,3.581606639,3480
demo,1,-2,3.58039084,3490
demo,1,-2,3.579091729,3500
demo,1,-2,3.577792014,3510
demo,1,-2,3.576491686,3520
demo,1,-2,3.575130849,3530
demo,1,-2,3.573701198,3540
demo,1,-2,3.572201594,3550
demo,1,-2,3.570701332,3560
demo,1,-2,3.5692004,3570
demo,1,-2,3.567698786,3580
demo,1,-2,3.566104749,3590
demo,1,-2,3.564467666,3600
demo,1,-2,3.562829864,3610
demo,1,-2,3.561191329,3620
demo,1,-2,3.559552047,3630
demo,1,-2,3.557777002,3640
demo,1,-2,3.555994471,3650
demo,1,-2,3.554211147,3660
demo,1,-2,3.552427014,3670
demo,1,-2,3.550610853,3680
demo,1,-2,3.548683931,3690
demo,1,-2,3.546756153,3700
demo,1,-2,3.544827501,3710
demo,1,-2,3.542897956,3720
demo,1,-2,3.540917987,3730
demo,1,-2,3.538907479,3740
demo,1,-2,3.536896018,3750
demo,1,-2,3.534883583,3760
demo,1,-2,3.53287015,3770
demo,1,-2,3.530765339,3780
demo,1,-2,3.528630632,3790
demo,1,-2,3.526494857,3800
demo,1,-2,3.524357995,3810
demo,1,-2,3.522217326,3820
demo,1,-2,3.519976193,3830
demo,1,-2,3.517733891,3840
demo,1,-2,3.515490391,3850
demo,1,-2,3.513245661,3860
demo,1,-2,3.510974673,3870
demo,1,-2,3.508642592,3880
demo,1,-2,3.506309185,3890
demo,1,-2,3.503974419,3900
demo,1,-2,3.501638261,3910
demo,1,-2,3.499259805,3920
demo,1,-2,3.496848183,3930
demo,1,-2,3.494435053,3940
demo,1,-2,3.491923114,3950
demo,1,-2,3.48936216,3960
demo,1,-2,3.486738089,3970
demo,1,-2,3.484099881,3980
demo,1,-2,3.481459937,3990
demo,1,-2,3.478818209,4000
demo,1,-2,3.4761642,4010
demo,1,-2,3.473414234,4020
demo,1,-2,3.47066232,4030
demo,1,-2,3.467908397,4040
demo,1,-2,3.465141584,4050
demo,1,-2,3.462277035,4060
demo,1,-2,3.459290976,4070
demo,1,-2,3.456302637,4080
demo,1,-2,3.453311943,4090
demo,1,-2,3.450318816,4100
demo,1,-2,3.447105032,4110
demo,1,-2,3.443764164,4120
demo,1,-2,3.440420604,4130
demo,1,-2,3.437074257,4140
demo,1,-2,3.43373644,4150
demo,1,-2,3.430014201,4160
demo,1,-2,3.426241729,4170
demo,1,-2,3.422466035,4180
demo,1,-2,3.418686998,4190
demo,1,-2,3.414827482,4200
demo,1,-2,3.41059725,4210
demo,1,-2,3.406363261,4220
demo,1,-2,3.402125363,4230
demo,1,-2,3.397883393,4240
demo,1,-2,3.393450371,4250
demo,1,-2,3.38868851,4260
demo,1,-2,3.383922029,4270
demo,1,-2,3.37915072,4280
demo,1,-2,3.374374366,4290
demo,1,-2,3.36970132,4300
demo,1,-2,3.365067082,4310
demo,1,-2,3.360427049,4320
demo,1,-2,3.355780937,4330
demo,1,-2,3.351128442,4340
demo,1,-2,3.346681345,4350
demo,1,-2,3.342294738,4360
demo,1,-2,3.337903298,4370
demo,1,-2,3.333504019,4380
demo,1,-2,3.329097204,4390
demo,1,-2,3.324683904,4400
demo,1,-2,3.320261345,4410
demo,1,-2,3.315828974,4420
demo,1,-2,3.31138619,4430
demo,1,-2,3.306634085,4440
demo,1,-2,3.301589431,4450
demo,1,-2,3.296483735,4460
demo,1,-2,3.291357269,4470
demo,1,-2,3.286216453,4480
demo,1,-2,3.279721882,4490
demo,1,-2,3.27284082,4500
demo,1,-2,3.26594197,4510
demo,1,-2,3.259023931,4520
demo,1,-2,3.251886229,4530
demo,1,-2,3.241082487,4540
demo,1,-2,3.230254281,4550
demo,1,-2,3.219203089,4560
demo,1,-2,3.207918042,4570
demo,1,-2,3.19403815,4580
demo,1,-2,3.174679482,4590
demo,1,-2,3.155281787,4600
demo,1,-2,3.135840734,4610
demo,1,-2,3.116351287,4620
demo,1,-2,3.087216448,4630
demo,1,-2,3.051312031,4640
demo,1,-2,3.015338027,4650
demo,1,-2,2.97918917,4660
demo,1,-2,2.942834417,4670
demo,1,-2,2.878147334,4680
demo,1,-2,2.80861592,4690
demo,2,4,3.137155323,4700
demo,2,4,3.213765052,4710
demo,2,4,3.28174866,4720
demo,2,4,3.320223167,4730
demo,2,4,3.357779029,4740
demo,2,4,3.382345087,4750
demo,2,4,3.402666985,4760
demo,2,4,3.419254921,4770
demo,2,4,3.431257541,4780
demo,2,4,3.443087961,4790
demo,2,4,3.451675132,4800
demo,2,4,3.460260269,4810
demo,2,4,3.468023879,4820
demo,2,4,3.475462491,4830
demo,2,4,3.482946365,4840
demo,2,4,3.490477101,4850
demo,2,4,3.498081831,4860
demo,2,4,3.506234728,4870
demo,2,4,3.514446911,4880
demo,2,4,3.522870697,4890
demo,2,4,3.531454862,4900
demo,2,4,3.539966253,4910
demo,2,4,3.547586811,4920
demo,2,4,3.555232784,4930
demo,2,4,3.562148514,4940
demo,2,4,3.568952963,4950
demo,2,4,3.575324286,4960
demo,2,4,3.581335002,4970
demo,2,4,3.587284759,4980
demo,2,4,3.592645948,4990
demo,2,4,3.598023345,5000
demo,2,4,3.603127213,5010
demo,2,4,3.608083074,5020
demo,2,4,3.612972936,5030
demo,2,4,3.617746521,5040
demo,2,4,3.622530283,5050
demo,2,4,3.627179979,5060
demo,2,4,3.631582054,5070
demo,2,4,3.635870269,5080
demo,2,4,3.640117221,5090
demo,2,4,3.644326553,5100
demo,2,4,3.648422763,5110
demo,2,4,3.652527721,5120
demo,2,4,3.656455516,5130
demo,2,4,3.660373024,5140
demo,2,4,3.664169167,5150
demo,2,4,3.667863585,5160
demo,2,4,3.671528241,5170
demo,2,4,3.67507865,5180
demo,2,4,3.67863561,5190
demo,2,4,3.681972153,5200
demo,2,4,3.685259642,5210
demo,2,4,3.688429777,5220
demo,2,4,3.691445769,5230
demo,2,4,3.694449505,5240
demo,2,4,3.697208482,5250
demo,2,4,3.699972565,5260
demo,2,4,3.702576505,5270
demo,2,4,3.704979548,5280
demo,2,4,3.707300151,5290
demo,2,4,3.709494953,5300
demo,2,4,3.711694092,5310
demo,2,4,3.713759944,5320
demo,2,4,3.715823859,5330
demo,2,4,3.717835069,5340
demo,2,4,3.719810705,5350
demo,2,4,3.721780676,5360
demo,2,4,3.723721477,5370
demo,2,4,3.726141286,5380
demo,2,4,3.728615861,5390
demo,2,4,3.731093709,5400
demo,2,4,3.733576936,5410
demo,2,4,3.736065537,5420
demo,2,4,3.738559252,5430
demo,2,4,3.741069609,5440
demo,2,4,3.743583006,5450
demo,2,4,3.74614175,5460
demo,2,4,3.748716837,5470
demo,2,4,3.751439901,5480
demo,2,4,3.754429832,5490
demo,2,4,3.757423473,5500
demo,2,4,3.76045375,5510
demo,2,4,3.763486685,5520
demo,2,4,3.766541685,5530
demo,2,4,3.769609213,5540
demo,2,4,3.772686532,5550
demo,2,4,3.775783655,5560
demo,2,4,3.778883235,5570
demo,2,4,3.782006098,5580
demo,2,4,3.785406721,5590
demo,2,4,3.788831939,5600
demo,2,4,3.792270576,5610
demo,2,4,3.79571878,5620
demo,2,4,3.799198754,5630
demo,2,4,3.802680981,5640
demo,2,4,3.806216394,5650
demo,2,4,3.810241626,5660
demo,2,4,3.814631602,5670
demo,2,4,3.819080113,5680
demo,2,4,3.823548276,5690
demo,2,4,3.828176664,5700
demo,2,4,3.832807178,5710
demo,2,4,3.837481727,5720
demo,2,4,3.842006418,5730
demo,2,4,3.846666118,5740
demo,2,4,3.85155651,5750
demo,2,4,3.85644961,5760
demo,2,4,3.861727367,5770
demo,2,4,3.867007189,5780
demo,2,4,3.872912507,5790
demo,2,4,3.878979624,5800
demo,2,4,3.885045581,5810
demo,2,4,3.891104873,5820
demo,2,4,3.897166223,5830
demo,2,4,3.902959383,5840
demo,2,4,3.908619886,5850
demo,2,4,3.914064044,5860
demo,2,4,3.919322297,5870
demo,2,4,3.924516869,5880
demo,2,4,3.929336354,5890
demo,2,4,3.933586718,5900
demo,2,4,3.93760514,5910
demo,2,4,3.941569086,5920
demo,2,4,3.945449836,5930
demo,2,4,3.94922376,5940
demo,2,4,3.952990983,5950
demo,2,4,3.95657798,5960
demo,2,4,3.960088621,5970
demo,2,4,3.963549657,5980
demo,2,4,3.966991452,5990
demo,2,4,3.970420565,6000
demo,2,4,3.973823057,6010
demo,2,4,3.977418558,6020
demo,2,4,3.981663419,6030
demo,2,4,3.985909984,6040
demo,2,4,3.990149113,6050
demo,2,4,3.994384352,6060
demo,2,4,3.99861961,6070
demo,2,3.831406022,3.999999954,6080
demo,2,3.619736519,3.999984054,6090
demo,2,3.449172058,3.999999686,6100
demo,2,3.291879057,4.00000006,6110
demo,2,3.145048859,4.000000063,6120
demo,2,3.006784712,3.999999873,6130
demo,2,2.87572671,3.999999969,6140
demo,2,2.750889436,3.999999713,6150
demo,2,2.631813493,3.999999503,6160
demo,2,2.518056832,3.999999967,6170
demo,2,2.406124973,3.999942979,6180
demo,2,2.287351311,4.00005846,6190
demo,2,2.161155822,3.999997127,6200
demo,2,2.046987544,4.000000526,6210
demo,2,1.939524336,4.000000538,6220
demo,2,1.838280054,4.000000552,6230
demo,2,1.742581269,4.000000072,6240
demo,2,1.652089148,4.000001165,6250
demo,2,1.566125765,4.000001157,6260
demo,2,1.484548611,3.999999698,6270
demo,2,1.407275455,3.999999824,6280
demo,2,1.334129961,4.000000074,6290
demo,2,1.264676997,4.000000046,6300
demo,2,1.198831647,4.000000033,6310
demo,2,1.136353731,3.999997724,6320
demo,2,1.076247759,3.999996472,6330
demo,2,1.018567987,4.000011831,6340
demo,2,0.962463449,3.999996412,6350
demo,2,0.910451334,3.99999871,6360
demo,2,0.861293316,3.999999476,6370
demo,2,0.814828159,4.000000407,6380
demo,2,0.770798296,4.000000767,6390
demo,2,0.72912403,4.000000339,6400
demo,2,0.689691091,4.000000085,6410
demo,2,0.65244384,3.999999867,6420
demo,2,0.617226872,3.999999894,6430
demo,2,0.583978513,4.000000095,6440
demo,2,0.552511834,4.000000156,6450
demo,2,0.522717392,4.000000114,6460
demo,2,0.494537957,4.000000068,6470
demo,2,0.467887491,3.999999973,6480
demo,2,0.442640179,3.999999797,6490
demo,2,0.418777219,3.999999761,6500
demo,2,0.396199041,3.999999841,6510
demo,2,0.374825734,3.999999884,6520
demo,2,0.35461024,3.999999829,6530
demo,2,0.335469341,3.999999774,6540
demo,2,0.317375596,3.999999813,6550
demo,2,0.300257032,3.999999916,6560
demo,2,0.28405315,4.000000022,6570
demo,2,0.268725486,4.000000088,6580
demo,2,0.254221477,4.000000092,6590
demo,2,0.240489469,4.000000018,6600
demo,2,0.22749494,3.999999952,6610
demo,2,0.215203174,3.999999892,6620
demo,2,0.203575865,3.999999794,6630
demo,2,0.19257403,3.999999653,6640
demo,2,0.182162689,3.999999594,6650
demo,2,0.172316179,3.999999643,6660
demo,2,0.163009372,3.999999814,6670
demo,2,0.154207215,4.000000013,6680
demo,2,0.145876398,4.000000146,6690
demo,2,0.137997599,4.000000264,6700
demo,2,0.13055057,4.000000409,6710
demo,2,0.123498747,4.000000486,6720
demo,2,0.116816674,4.000000454,6730
demo,2,0.110485393,4.000000251,6740
demo,2,0.104491799,3.999999956,6750
demo,2,-2,3.963719575,6760
demo,2,-2,3.958308095,6770
demo,2,-2,3.954111806,6780
demo,2,-2,3.950584772,6790
demo,2,-2,3.947487627,6800
demo,2,-2,3.944660098,6810
demo,2,-2,3.941997849,6820
demo,2,-2,3.939438224,6830
demo,2,-2,3.936943838,6840
demo,2,-2,3.93455402,6850
demo,2,-2,3.932220443,6860
demo,2,-2,3.92990165,6870
demo,2,-2,3.927591808,6880
demo,2,-2,3.925287984,6890
demo,2,-2,3.922988225,6900
demo,2,-2,3.920690293,6910
demo,2,-2,3.918393648,6920
demo,2,-2,3.916097153,6930
demo,2,-2,3.913801357,6940
demo,2,-2,3.911505025,6950
demo,2,-2,3.909207455,6960
demo,2,-2,3.907270192,6970
demo,2,-2,3.905393155,6980
demo,2,-2,3.903515896,6990
demo,2,-2,3.901637454,7000
demo,2,-2,3.899758548,7010
demo,2,-2,3.897879363,7020
demo,2,-2,3.895999812,7030
demo,2,-2,3.894119677,7040
demo,2,-2,3.892237234,7050
demo,2,-2,3.890354499,7060
demo,2,-2,3.888471467,7070
demo,2,-2,3.886588135,7080
demo,2,-2,3.884703408,7090
demo,2,-2,3.88281621,7100
demo,2,-2,3.880749647,7110
demo,2,-2,3.878679014,7120
demo,2,-2,3.876608059,7130
demo,2,-2,3.874533714,7140
demo,2,-2,3.87245703,7150
demo,2,-2,3.870380027,7160
demo,2,-2,3.868302722,7170
demo,2,-2,3.866225116,7180
demo,2,-2,3.864140154,7190
demo,2,-2,3.862053865,7200
demo,2,-2,3.859967282,7210
demo,2,-2,3.857880406,7220
demo,2,-2,3.85579137,7230
demo,2,-2,3.853784682,7240
demo,2,-2,3.852115453,7250
demo,2,-2,3.850445938,7260
demo,2,-2,3.848776138,7270
demo,2,-2,3.847097054,7280
demo,2,-2,3.84540475,7290
demo,2,-2,3.843712165,7300
demo,2,-2,3.842019299,7310
demo,2,-2,3.840326155,7320
demo,2,-2,3.838607842,7330
demo,2,-2,3.836877481,7340
demo,2,-2,3.835146844,7350
demo,2,-2,3.833415933,7360
demo,2,-2,3.831631484,7370
demo,2,-2,3.829768277,7380
demo,2,-2,3.827901626,7390
demo,2,-2,3.826034708,7400
demo,2,-2,3.824167525,7410
demo,2,-2,3.822279052,7420
demo,2,-2,3.820314167,7430
demo,2,-2,3.818349018,7440
demo,2,-2,3.816383606,7450
demo,2,-2,3.814417932,7460
demo,2,-2,3.812381488,7470
demo,2,-2,3.810269937,7480
demo,2,-2,3.808158129,7490
demo,2,-2,3.805897405,7500
demo,2,-2,3.803469889,7510
demo,2,-2,3.800897456,7520
demo,2,-2,3.798277509,7530
demo,2,-2,3.795657305,7540
demo,2,-2,3.793036846,7550
demo,2,-2,3.790411575,7560
demo,2,-2,3.78758737,7570
demo,2,-2,3.784762911,7580
demo,2,-2,3.781938204,7590
demo,2,-2,3.779089472,7600
demo,2,-2,3.77616093,7610
demo,2,-2,3.773132965,7620
demo,2,-2,3.770104749,7630
demo,2,-2,3.767076279,7640
demo,2,-2,3.764047555,7650
demo,2,-2,3.761015234,7660
demo,2,-2,3.757980026,7670
demo,2,-2,3.754944565,7680
demo,2,-2,3.751908853,7690
demo,2,-2,3.748872889,7700
demo,2,-2,3.745942704,7710
demo,2,-2,3.743274512,7720
demo,2,-2,3.740629397,7730
demo,2,-2,3.737984028,7740
demo,2,-2,3.735356948,7750
demo,2,-2,3.732902698,7760
demo,2,-2,3.730448192,7770
demo,2,-2,3.72799343,7780
demo,2,-2,3.725538411,7790
demo,2,-2,3.723149178,7800
demo,2,-2,3.720874428,7810
demo,2,-2,3.718599419,7820
demo,2,-2,3.716324152,7830
demo,2,-2,3.714048624,7840
demo,2,-2,3.711699234,7850
demo,2,-2,3.709368176,7860
demo,2,-2,3.707036857,7870
demo,2,-2,3.704705273,7880
demo,2,-2,3.702373426,7890
demo,2,-2,3.700120543,7900
demo,2,-2,3.697875964,7910
demo,2,-2,3.695631117,7920
demo,2,-2,3.693386003,7930
demo,2,-2,3.691149633,7940
demo,2,-2,3.688956718,7950
demo,2,-2,3.686763531,7960
demo,2,-2,3.684748842,7970
demo,2,-2,3.682950476,7980
demo,2,-2,3.681165298,7990
demo,2,-2,3.679397019,8000
demo,2,-2,3.67762846,8010
demo,2,-2,3.675859621,8020
demo,2,-2,3.6740905,8030
demo,2,-2,3.672334107,8040
demo,2,-2,3.670582796,8050
demo,2,-2,3.668831198,8060
demo,2,-2,3.667079311,8070
demo,2,-2,3.665327133,8080
demo,2,-2,3.663587071,8090
demo,2,-2,3.661847013,8100
demo,2,-2,3.660106659,8110
demo,2,-2,3.658466795,8120
demo,2,-2,3.656869444,8130
demo,2,-2,3.655280262,8140
